MAE,RMSE,MAPE,Model
3.9817134557139644,4.815725308194648,14.375142164601218,ARIMA Gas (Test)
27.10553657360543,38.0040747124602,2.5238478326961222,SARIMA Electricity (Test)
81.30789378938006,107.06142065667404,17.895511369255914,Exponential Smoothing Water (Test)
